claim_index,url,claim,parameter,context,range_id,source_ids,status,action_required
2278,guides/edge-cases/index.html,"(Dilution, pH &amp; Chlorine) Browse rain effect on pool chemistry content.",ph,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2279,guides/edge-cases/index.html,How Long After Shocking a Pool Can You Swim?,shock_treatment,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2280,guides/edge-cases/index.html,(Safe Wait Times) Browse swimming after shocking pool content.,shock_treatment,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2281,guides/edge-cases/over-shocking-pool-effects.html,"Over-Shocking a Pool: Effects Adding far too much shock drives free chlorine dangerously high—swimmers should stay out until FC returns to label-safe levels, and very high FC can stress liners, covers, and metal fittings.",free_chlorine,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2282,guides/edge-cases/over-shocking-pool-effects.html,Why it happens Shock products are concentrated oxidizers.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2283,guides/edge-cases/over-shocking-pool-effects.html,Safe ranges / timing Swim when FC matches safe recreational ranges on your kit and label—often 1–3 ppm for pools.,free_chlorine,unspecified_env/unspecified_sanitizer,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2284,guides/edge-cases/over-shocking-pool-effects.html,Heavy shocks may require overnight or longer.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2285,guides/edge-cases/over-shocking-pool-effects.html,Calculator Pool Shock Calculator Related Pool Chemistry Guides Related in this topic How Often Should I Shock My Pool Index Why Pool Chlorine Disappears Overnight Why Pool Wont Hold Chlorine High Cya Chlorine Lock Related topics Does Rain Lower Pool Ph Total Alkalinity Explained Tools Pool chlorine …,ph,pool/chlorine,,,REQUIRES_REVIEW,Numeric value (1-3) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate.
2286,guides/edge-cases/over-shocking-pool-effects.html,"These tools are designed to help maintain safe chlorine, pH, and total alkalinity within a healthy water balance.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2287,guides/edge-cases/pool-temperature-effect-chlorine.html,How Pool Temperature Affects Chlorine Hotter water usually burns through free chlorine faster because chemical reactions and microbial growth accelerate—expect higher daily chlorine demand above roughly 85–90°F unless load is very low.,free_chlorine,pool/chlorine,,,REQUIRES_REVIEW,"Numeric value (85-90) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya) -- flag for the consistency matrix as a possible contradiction candidate."
2288,guides/edge-cases/pool-temperature-effect-chlorine.html,Warmer temperatures increase reaction rates and can favor algae and biofilm if FC slips.,free_chlorine,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2289,guides/edge-cases/pool-temperature-effect-chlorine.html,Pair with summer demand guidance and shock when CC climbs.,combined_chlorine,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2290,guides/edge-cases/pool-temperature-effect-chlorine.html,Safe ranges / timing Maintain 1–3 ppm FC for typical pools (hot tubs higher).,free_chlorine,hot_tub/unspecified_sanitizer,range-fc-hottub-chlorine-routine,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2291,guides/edge-cases/pool-temperature-effect-chlorine.html,"Calculator Open Pool Chlorine Calculator Related Pool Chemistry Guides Related in this topic Shock for 10,000 gal pool Shock for 15,000 gal pool Shock for 20,000 gal pool Shock for 25,000 gal pool Shock for 30,000 gal pool Related topics Hot tub pH calculator Pool alkalinity calculator Tools Pool ch…",ph,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (1-3) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
2292,guides/edge-cases/pool-temperature-effect-chlorine.html,"These tools are designed to help maintain safe chlorine, pH, and total alkalinity within a healthy water balance.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2293,guides/edge-cases/rain-effect-on-pool-chemistry.html,"Rain’s Effect on Pool Chemistry Yes—rain dilutes sanitizer and salt, can lower alkalinity slightly in soft water, drags in debris and nitrogen sources, and may shift pH depending on local rainfall chemistry.",ph,pool/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2294,guides/edge-cases/rain-effect-on-pool-chemistry.html,"Why it happens Heavy rain increases volume relative to dissolved chemicals, so FC, salt, and CYA readings can all trend down on a percentage basis.",free_chlorine,unspecified_env/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2295,guides/edge-cases/rain-effect-on-pool-chemistry.html,Organic debris and runoff add chlorine demand and can cloud water.,chlorine_demand,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2296,guides/edge-cases/rain-effect-on-pool-chemistry.html,Acid rain extremes are uncommon but possible—usually the bigger issue is load + dilution .,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2297,guides/edge-cases/rain-effect-on-pool-chemistry.html,"What to do After a storm: clean skimmer, brush, run filter, then test FC, pH, and alkalinity .",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2298,guides/edge-cases/rain-effect-on-pool-chemistry.html,"Shock if you see high combined chlorine, algae, or heavy organic load.",combined_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2299,guides/edge-cases/rain-effect-on-pool-chemistry.html,Recalculate doses using updated volume if you had significant overflow or top-off.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2300,guides/edge-cases/rain-effect-on-pool-chemistry.html,Safe ranges / timing Bring FC back to 1–3 ppm (typical pools) before swimming.,free_chlorine,unspecified_env/unspecified_sanitizer,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2301,guides/edge-cases/rain-effect-on-pool-chemistry.html,Calculator Pool Chlorine Calculator · pH Calculator Related Pool Chemistry Guides Related in this topic Index Index — 1 Index — 2 Index — 3 Index — 4 Related topics Pool pH adjustment calculator Low Alkalinity Symptoms Tools Full pool chemical calculator Hub guide Pool chemistry basics (hub) Typical…,ph,pool/chlorine,,,REQUIRES_REVIEW,Numeric value (1-3) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate.
2302,guides/edge-cases/rain-effect-on-pool-chemistry.html,"These tools are designed to help maintain safe chlorine, pH, and total alkalinity within a healthy water balance.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2303,guides/edge-cases/swimming-after-shocking-pool.html,Swimming After Shocking a Pool You should swim only after free chlorine falls back into the safe range on your test kit and any minimum wait printed on the shock product label is met—often several hours to overnight for large doses.,free_chlorine,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2304,guides/edge-cases/swimming-after-shocking-pool.html,Why it happens Shock raises FC well above normal swim levels to oxidize waste and kill algae.,free_chlorine,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2305,guides/edge-cases/swimming-after-shocking-pool.html,High FC can irritate skin and eyes; non-chlorine shocks have different rules.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2306,guides/edge-cases/swimming-after-shocking-pool.html,"What to do Circulate water, then test FC and pH before allowing swimmers.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2307,guides/edge-cases/swimming-after-shocking-pool.html,"If FC is still very high, wait—sunlight and oxidation bring it down, but timing varies with dose, CYA, and product.",free_chlorine,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
